Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.126127004623	0.12691116333	0.12691116333	0.12691116333	0.122603004623		0.0	0.0
2&0		0.123434066772	0.125871062279	0.251742124557	1.25174212456	0.120191066772		0.0	0.0
3&0		0.129561901093	0.127554019292	0.382662057877	2.38266205788	0.126739901093		0.0	0.0
4&0		0.117518901825	0.125364243984	0.501456975937	3.50145697594	0.114060901825		0.0	0.0
5&0		0.137239217758	0.128042030334	0.640210151672	4.64021015167	0.128740217758		0.0	0.0
6&0		0.120079040527	0.126993338267	0.761960029602	5.7619600296	0.116559040527		0.0	0.0
7&0		0.119297027588	0.126079423087	0.882555961609	6.88255596161	0.115937027588		0.0	0.0
8&0		0.117560148239	0.125174760818	1.00139808655	8.00139808655	0.114521148239		0.0	0.0
9&0		0.118064880371	0.124529441198	1.12076497078	9.12076497078	0.114493880371		0.0	0.0
10&0		0.145704984665	0.126775193214	1.26775193214	10.2677519321	0.142413984665		0.0	0.0
11&0		0.133275985718	0.127486098896	1.40234708786	11.4023470879	0.129149985718		0.0	0.0
12&0		0.486138820648	0.157495081425	1.8899409771	12.8899409771	0.479374820648		0.0	0.0
13&0		0.124047040939	0.155053853989	2.01570010185	14.0157001019	0.119627040939		0.0	0.0
14&0		0.119462013245	0.152610710689	2.13654994965	15.1365499496	0.114862013245		0.0	0.0
15&0		0.128582000732	0.151105737686	2.26658606529	16.2665860653	0.124024000732		0.0	0.0
16&0		0.123668909073	0.149481624365	2.39170598984	17.3917059898	0.120280909073		0.0	0.0
17&0		0.123160839081	0.148009763044	2.51616597176	18.5161659718	0.119856839081		0.0	0.0
18&0		0.143154144287	0.14781261815	2.66062712669	19.6606271267	0.139905144287		0.0	0.0
19&0		0.148945093155	0.147943057512	2.81091809273	20.8109180927	0.140054093155		0.0	0.0
20&0		0.127632856369	0.14701294899	2.9402589798	21.9402589798	0.124107856369		0.0	0.0
21&0		0.118225097656	0.145713431495	3.05998206139	23.0599820614	0.114037097656		0.0	0.0
22&0		0.127465963364	0.144910638983	3.18803405762	24.1880340576	0.123161963364		0.0	0.0
23&0		0.146620988846	0.145044917646	3.33603310585	25.3360331059	0.142137988846		0.0	0.0
24&0		0.125067949295	0.144273708264	3.46256899834	26.4625689983	0.120500949295		0.0	0.0
