Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.128470897675	0.12904882431	0.12904882431	0.12904882431	0.122691897675		0.0	0.0
2&0		0.123570919037	0.127108454704	0.254216909409	1.25421690941	0.120338919037		0.0	0.0
3&0		0.120322942734	0.125280618668	0.375841856003	2.375841856	0.117277942734		0.0	0.0
4&0		0.141736030579	0.129716217518	0.518864870071	3.51886487007	0.137140030579		0.0	0.0
5&0		0.195385932922	0.14313416481	0.715670824051	4.71567082405	0.190220932922		0.0	0.0
6&0		0.125909805298	0.140524307887	0.843145847321	5.84314584732	0.122936805298		0.0	0.0
7&0		0.135564804077	0.140015261514	0.980106830597	6.9801068306	0.132590804077		0.0	0.0
8&0		0.127857923508	0.138656497002	1.10925197601	8.10925197601	0.122930923508		0.0	0.0
9&0		0.117415189743	0.136468225055	1.2282140255	9.2282140255	0.114274189743		0.0	0.0
10&0		0.123225927353	0.135285186768	1.35285186768	10.3528518677	0.120171927353		0.0	0.0
11&0		0.148038864136	0.136568893086	1.50225782394	11.5022578239	0.145100864136		0.0	0.0
12&0		0.116737127304	0.134956419468	1.61947703362	12.6194770336	0.113806127304		0.0	0.0
13&0		0.121151924133	0.133998449032	1.74197983742	13.7419798374	0.116310924133		0.0	0.0
14&0		0.117466926575	0.132870418685	1.86018586159	14.8601858616	0.114559926575		0.0	0.0
15&0		0.131374120712	0.132856400808	1.99284601212	15.9928460121	0.128370120712		0.0	0.0
16&0		0.133801937103	0.133006051183	2.12809681892	17.1280968189	0.130798937103		0.0	0.0
17&0		0.172222852707	0.135393226848	2.30168485641	18.3016848564	0.168833852707		0.0	0.0
18&0		0.141891956329	0.135834111108	2.44501399994	19.4450139999	0.138952956329		0.0	0.0
19&0		0.135934114456	0.135907160608	2.58223605156	20.5822360516	0.132940114456		0.0	0.0
20&0		0.137996912003	0.136076641083	2.72153282166	21.7215328217	0.134984912003		0.0	0.0
21&0		0.120147943497	0.135374284926	2.84285998344	22.8428599834	0.117112943497		0.0	0.0
22&0		0.127771139145	0.135091770779	2.97201895714	23.9720189571	0.124308139145		0.0	0.0
23&0		0.185245037079	0.137330480244	3.15860104561	25.1586010456	0.180111037079		0.0	0.0
24&0		0.169564962387	0.138735791047	3.32965898514	26.3296589851	0.166021962387		0.0	0.0
25&0		0.175170898438	0.140247755051	3.50619387627	27.5061938763	0.172162898437		0.0	0.0
26&0		0.123804092407	0.139668959838	3.63139295578	28.6313929558	0.118989092407		0.0	0.0
27&0		0.127460002899	0.139269846457	3.76028585434	29.7602858543	0.122492002899		0.0	0.0
28&0		0.123219966888	0.138751353536	3.88503789902	30.885037899	0.118248966888		0.0	0.0
29&0		0.133440971375	0.138616792087	4.01988697052	32.0198869705	0.128320971375		0.0	0.0
30&0		0.124310970306	0.138192764918	4.14578294754	33.1457829475	0.119276970306		0.0	0.0
31&0		0.118986129761	0.137619549228	4.26620602608	34.2662060261	0.115823129761		0.0	0.0
32&0		0.123022079468	0.137204281986	4.39053702354	35.3905370235	0.119931079468		0.0	0.0
33&0		0.121037006378	0.136756239515	4.51295590401	36.512955904	0.118061006378		0.0	0.0
34&0		0.119032859802	0.136277584469	4.63343787193	37.6334378719	0.116166859802		0.0	0.0
35&0		0.122224092484	0.13591576985	4.75705194473	38.7570519447	0.119241092484		0.0	0.0
36&0		0.12402510643	0.1356222762	4.88240194321	39.8824019432	0.12096110643		0.0	0.0
37&0		0.126658916473	0.135415483165	5.01037287712	41.0103728771	0.121811916473		0.0	0.0
38&0		0.121426105499	0.135090947151	5.13345599174	42.1334559917	0.118532105499		0.0	0.0
39&0		0.149415016174	0.135491407835	5.28416490555	43.2841649055	0.146027016174		0.0	0.0
40&0		0.123866796494	0.135235971212	5.4094388485	44.4094388485	0.120844796494		0.0	0.0
41&0		0.140684127808	0.135401708324	5.55147004128	45.5514700413	0.137488127808		0.0	0.0
42&0		0.115927934647	0.134969047138	5.66869997978	46.6686999798	0.112932934647		0.0	0.0
43&0		0.149132013321	0.135328625524	5.81913089752	47.8191308975	0.146224013321		0.0	0.0
44&0		0.125344991684	0.135131136938	5.94577002525	48.9457700253	0.120529991684		0.0	0.0
45&0		0.127988100052	0.135003089905	6.07513904572	50.0751390457	0.124842100052		0.0	0.0
46&0		0.120326042175	0.134715717772	6.1969230175	51.1969230175	0.117057042175		0.0	0.0
47&0		0.157643079758	0.135242320122	6.35638904572	52.3563890457	0.154144079758		0.0	0.0
48&0		0.133970022202	0.13524397711	6.49171090126	53.4917109013	0.131020022202		0.0	0.0
49&0		0.114698886871	0.134852998111	6.60779690742	54.6077969074	0.111824886871		0.0	0.0
50&0		0.12277007103	0.134637379646	6.73186898232	55.7318689823	0.11979107103		0.0	0.0
51&0		0.206521987915	0.136074038113	6.93977594376	56.9397759438	0.201532987915		0.0	0.0
52&0		0.122644901276	0.13584290101	7.06383085251	58.0638308525	0.119691901276		0.0	0.0
53&0		0.156970977783	0.136267828491	7.22219491005	59.22219491	0.152695977783		0.0	0.0
54&0		0.12663602829	0.136116222099	7.35027599335	60.3502759933	0.12367802829		0.0	0.0
55&0		0.136660814285	0.13615081527	7.48829483986	61.4882948399	0.133849814285		0.0	0.0
56&0		0.121072053909	0.135907160384	7.61080098152	62.6108009815	0.116542053909		0.0	0.0
57&0		0.131690979004	0.135858385186	7.74392795563	63.7439279556	0.126251979004		0.0	0.0
58&0		0.12023806572	0.135615722886	7.86571192741	64.8657119274	0.11737506572		0.0	0.0
59&0		0.124407052994	0.135447829457	7.99142193794	65.9914219379	0.121363052994		0.0	0.0
60&0		0.12640786171	0.135319097837	8.11914587021	67.1191458702	0.12326586171		0.0	0.0
61&0		0.132156848907	0.135291244163	8.25276589394	68.2527658939	0.129078848907		0.0	0.0
62&0		0.124842882156	0.135146271798	8.37906885147	69.3790688515	0.121809882156		0.0	0.0
63&0		0.126777887344	0.135035711621	8.50724983215	70.5072498322	0.123727887344		0.0	0.0
64&0		0.116797924042	0.134770859033	8.6253349781	71.6253349781	0.113850924042		0.0	0.0
65&0		0.156432151794	0.135125215237	8.7831389904	72.7831389904	0.153037151794		0.0	0.0
66&0		0.136087179184	0.135159803159	8.92054700851	73.9205470085	0.133094179184		0.0	0.0
67&0		0.163311958313	0.135599954804	9.08519697189	75.0851969719	0.158154958313		0.0	0.0
68&0		0.124948978424	0.135463938994	9.21154785156	76.2115478516	0.121670978424		0.0	0.0
69&0		0.142781019211	0.135588521543	9.35560798645	77.3556079865	0.139531019211		0.0	0.0
70&0		0.122106075287	0.135414556095	9.47901892662	78.4790189266	0.117361075287		0.0	0.0
71&0		0.125933170319	0.135300747106	9.60635304451	79.6063530445	0.121438170319		0.0	0.0
72&0		0.115957975388	0.135053972403	9.72388601303	80.723886013	0.112865975388		0.0	0.0
73&0		0.1193318367	0.134856586587	9.84453082085	81.8445308208	0.1164928367		0.0	0.0
74&0		0.11547088623	0.134612241307	9.9613058567	82.9613058567	0.11264888623		0.0	0.0
75&0		0.142145872116	0.134730491638	10.1047868729	84.1047868729	0.139102872116		0.0	0.0
76&0		0.116148948669	0.134503392797	10.2222578526	85.2222578526	0.112940948669		0.0	0.0
77&0		0.124699115753	0.134393038688	10.348263979	86.348263979	0.120293115753		0.0	0.0
78&0		0.118557929993	0.134207563523	10.4681899548	87.4681899548	0.115733929993		0.0	0.0
