"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs256B.csv -cnm --socket 1 100",,,,"Date:","16 Jul 2017 11:24:16 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.352,8.133,86.651,0.044,0.0,3.819,0.0,0.0,139857920.0,59535360.0,196423680.0,572391424.0,347.0,4.0,6.0,0.0,0.0
1.093,3.005,95.082,0.0,0.0,0.820,1440516.0,1623.0,140423168.0,59535360.0,196427776.0,571822080.0,346.0,3.0,6.0,0.0,0.0
2.609,10.145,85.797,0.0,0.0,1.449,1426972.0,1555.0,140447744.0,59535360.0,196427776.0,571797504.0,346.0,3.0,6.0,0.0,0.0
1.108,10.249,86.704,0.0,0.0,1.939,1433876.0,1555.0,140496896.0,59535360.0,196427776.0,571748352.0,346.0,3.0,6.0,0.0,0.0
1.312,8.136,86.614,0.0,0.0,3.937,1435612.0,1555.0,140431360.0,59535360.0,196427776.0,571813888.0,346.0,3.0,6.0,0.0,0.0
0.754,8.040,87.437,0.0,0.0,3.769,1431516.0,1555.0,140431360.0,59535360.0,196427776.0,571813888.0,346.0,3.0,6.0,0.0,0.0
0.794,7.407,88.889,0.265,0.0,2.646,1432368.0,2017.0,140464128.0,59543552.0,196419584.0,571781120.0,346.0,3.0,6.0,0.0,0.0
1.657,3.591,92.541,0.0,0.0,2.210,1434104.0,1555.0,140423168.0,59543552.0,196427776.0,571813888.0,346.0,3.0,6.0,0.0,0.0
1.374,2.198,92.308,0.0,0.0,4.121,1435635.0,1555.0,140423168.0,59543552.0,196427776.0,571813888.0,346.0,3.0,6.0,0.0,0.0
0.800,3.733,93.067,0.0,0.0,2.400,1413432.0,840.0,141053952.0,59543552.0,196431872.0,571179008.0,347.0,4.0,6.0,0.0,0.0
