Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.116465091705	0.117398023605	0.117398023605	0.117398023605	0.112704091705		0.0	0.0
2&0		0.142335176468	0.130575060844	0.261150121689	1.26115012169	0.139297176468		0.0	0.0
3&0		0.120394945145	0.127609014511	0.382827043533	2.38282704353	0.117439945145		0.0	0.0
4&0		0.12527012825	0.127372026443	0.509488105774	3.50948810577	0.12195712825		0.0	0.0
5&0		0.153732061386	0.132909202576	0.664546012878	4.66454601288	0.148654061386		0.0	0.0
6&0		0.173930883408	0.140020489693	0.840122938156	5.84012293816	0.170814883408		0.0	0.0
7&0		0.192549943924	0.147724015372	1.0340681076	7.0340681076	0.189542943924		0.0	0.0
8&0		0.119026184082	0.14431989193	1.15455913544	8.15455913544	0.115943184082		0.0	0.0
9&0		0.123435974121	0.142143885295	1.27929496765	9.27929496765	0.120371974121		0.0	0.0
10&0		0.154981136322	0.143566012383	1.43566012383	10.4356601238	0.151899136322		0.0	0.0
11&0		0.115453004837	0.14113610441	1.55249714851	11.5524971485	0.112607004837		0.0	0.0
12&0		0.11674785614	0.139219661554	1.67063593864	12.6706359386	0.11393585614		0.0	0.0
13&0		0.133123159409	0.138869468982	1.80530309677	13.8053030968	0.130259159409		0.0	0.0
14&0		0.118531942368	0.137515221323	1.92521309853	14.9252130985	0.115416942368		0.0	0.0
15&0		0.12953209877	0.137073008219	2.05609512329	16.0560951233	0.12654809877		0.0	0.0
16&0		0.156701087952	0.138382509351	2.21412014961	17.2141201496	0.153428087952		0.0	0.0
17&0		0.140328168869	0.138585006489	2.35594511032	18.3559451103	0.137337168869		0.0	0.0
18&0		0.120187997818	0.137641840511	2.4775531292	19.4775531292	0.117178997818		0.0	0.0
19&0		0.118586778641	0.136717470069	2.5976319313	20.5976319313	0.115710778641		0.0	0.0
20&0		0.191833019257	0.139538753033	2.79077506065	21.7907750607	0.186517019257		0.0	0.0
21&0		0.117202043533	0.138553766977	2.90962910652	22.9096291065	0.114180043533		0.0	0.0
22&0		0.118975162506	0.137724778869	3.02994513512	24.0299451351	0.116027162506		0.0	0.0
23&0		0.165827035904	0.139003048772	3.19707012177	25.1970701218	0.160626035904		0.0	0.0
24&0		0.124672889709	0.138471206029	3.3233089447	26.3233089447	0.121801889709		0.0	0.0
25&0		0.117027044296	0.137672805786	3.44182014465	27.4418201447	0.114106044296		0.0	0.0
26&0		0.133785009384	0.137572921239	3.57689595222	28.5768959522	0.130742009384		0.0	0.0
27&0		0.121556997299	0.137033294748	3.69989895821	29.6998989582	0.116531997299		0.0	0.0
28&0		0.148996114731	0.137512147427	3.85034012794	30.8503401279	0.145890114731		0.0	0.0
29&0		0.121760129929	0.137019864444	3.97357606888	31.9735760689	0.118671129929		0.0	0.0
30&0		0.145479917526	0.137347332637	4.1204199791	33.1204199791	0.141832917526		0.0	0.0
31&0		0.127104043961	0.137059065603	4.24883103371	34.2488310337	0.124089043961		0.0	0.0
32&0		0.13624215126	0.137083284557	4.38666510582	35.3866651058	0.13323315126		0.0	0.0
33&0		0.166142940521	0.13801057411	4.55434894562	36.5543489456	0.163084940521		0.0	0.0
34&0		0.171558141708	0.139036445057	4.72723913193	37.7272391319	0.168339141708		0.0	0.0
35&0		0.234521865845	0.141802569798	4.96308994293	38.9630899429	0.229592865845		0.0	0.0
36&0		0.135088920593	0.141661498282	5.09981393814	40.0998139381	0.129345920593		0.0	0.0
37&0		0.141592979431	0.141706002725	5.24312210083	41.2431221008	0.138404979431		0.0	0.0
38&0		0.116875886917	0.141086578369	5.36128997803	42.361289978	0.113970886917		0.0	0.0
39&0		0.148725032806	0.14131582089	5.51131701469	43.5113170147	0.145697032806		0.0	0.0
40&0		0.143123865128	0.141394025087	5.65576100349	44.6557610035	0.140077865128		0.0	0.0
41&0		0.138983011246	0.141366830686	5.79604005814	45.7960400581	0.135883011246		0.0	0.0
42&0		0.131221055984	0.14115571408	5.92853999138	46.9285399914	0.128281055984		0.0	0.0
43&0		0.123511075974	0.140776512235	6.05339002609	48.0533900261	0.120333075974		0.0	0.0
44&0		0.142189979553	0.140838362954	6.19688796997	49.19688797	0.138601979553		0.0	0.0
45&0		0.193005084991	0.142026668125	6.39120006561	50.3912000656	0.189954084991		0.0	0.0
46&0		0.411903858185	0.147923391798	6.80447602272	51.8044760227	0.408851858185		0.0	0.0
47&0		0.138206958771	0.14774606583	6.94406509399	52.944065094	0.135219958771		0.0	0.0
48&0		0.427181005478	0.153594687581	7.37254500389	54.3725450039	0.421754005478		0.0	0.0
49&0		0.142026901245	0.153387653584	7.51599502563	55.5159950256	0.138693901245		0.0	0.0
50&0		0.177141189575	0.153892502785	7.69462513924	56.6946251392	0.174074189575		0.0	0.0
51&0		0.157621145248	0.153991100835	7.85354614258	57.8535461426	0.154653145248		0.0	0.0
52&0		0.122656106949	0.15341509764	7.97758507729	58.9775850773	0.119680106949		0.0	0.0
53&0		0.160178899765	0.1535674536	8.13907504082	60.1390750408	0.156859899765		0.0	0.0
54&0		0.162398815155	0.153761166113	8.30310297012	61.3031029701	0.159086815155		0.0	0.0
55&0		0.118361949921	0.153141000054	8.42275500298	62.422755003	0.115428949921		0.0	0.0
56&0		0.124835014343	0.152658998966	8.54890394211	63.5489039421	0.121727014343		0.0	0.0
57&0		0.125990867615	0.15221852587	8.67645597458	64.6764559746	0.123120867615		0.0	0.0
58&0		0.13990688324	0.15202918957	8.81769299507	65.8176929951	0.13696588324		0.0	0.0
59&0		0.124289989471	0.151580883285	8.9432721138	66.9432721138	0.119577989471		0.0	0.0
60&0		0.138036966324	0.151380534967	9.08283209801	68.082832098	0.134755966324		0.0	0.0
61&0		0.119109869003	0.150875279161	9.20339202881	69.2033920288	0.115917869003		0.0	0.0
62&0		0.133203029633	0.150613146444	9.3380150795	70.3380150795	0.130040029633		0.0	0.0
