Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
0&1		3.07774710655	3.07829403877	3.07829403877	3.07829403877	3.07652310655		0.1	1.0
0&2		3.23930191994	3.15966999531	6.31933999062	7.31933999062	3.23724991994		0.2	1.0
0&3		3.24778485298	3.18955564499	9.56866693497	11.568666935	3.24468385298		0.3	1.0
1&3		1.42763710022	2.74947249889	10.9978899956	13.9978899956	1.42099610022		0.3	0.75
1&4		2.79081320763	2.75802621841	13.7901310921	17.7901310921	2.78893220763		0.4	0.8
1&5		2.48320508003	2.71248968442	16.2749381065	21.2749381065	2.47973808003		0.5	0.833333333333
1&6		3.80975699425	2.86944855962	20.0861399174	26.0861399174	3.80716399425		0.6	0.857142857143
1&7		2.06024599075	2.7685058713	22.1480469704	29.1480469704	2.05912999075		0.7	0.875
2&7		1.33490014076	2.6093966696	23.4845700264	31.4845700264	1.32877314076		0.7	0.777777777778
2&8		2.05853390694	2.5544574976	25.544574976	34.544574976	2.05731390694		0.8	0.8
2&9		3.3016898632	2.62251862613	28.8477048874	38.8477048874	3.2999658632		0.8	0.818181818182
2&10		3.22142314911	2.67256359259	32.0707631111	43.0707631111	3.21932414911		0.8	0.833333333333
2&11		2.0562889576	2.62527007323	34.128510952	46.128510952	2.0552339576		0.8	0.846153846154
2&12		3.1475019455	2.66268207346	37.2775490284	50.2775490284	3.1461499455		0.9	0.857142857143
2&13		2.63598704338	2.66100667318	39.9151000977	53.9151000977	2.63457504338		0.9	0.866666666667
3&13		1.02502202988	2.55885306001	40.9416489601	55.9416489601	1.01894302988		0.8	0.8125
4&13		1.21492600441	2.47988052929	42.157968998	58.157968998	1.20947300441		0.7	0.764705882353
5&13		1.16506195068	2.40691416793	43.3244550228	60.3244550228	1.15849195068		0.6	0.722222222222
5&14		2.50971412659	2.41240231614	45.8356440067	63.8356440067	2.50725612659		0.7	0.736842105263
5&15		2.13067412376	2.39839220047	47.9678440094	66.9678440094	2.12934412376		0.7	0.75
5&16		2.21820902824	2.38989080702	50.1877069473	70.1877069473	2.21576202824		0.7	0.761904761905
5&17		2.11735296249	2.37756608833	52.3064539433	73.3064539433	2.11618596249		0.7	0.772727272727
5&18		2.72397994995	2.39269130126	55.031899929	77.031899929	2.72134394995		0.7	0.782608695652
5&19		2.47259902954	2.39608800411	57.5061120987	80.5061120987	2.47077302954		0.7	0.791666666667
5&20		2.72744011879	2.40936900139	60.2342250347	84.2342250347	2.72618711879		0.7	0.8
5&21		2.74915289879	2.42249419139	62.9848489761	87.9848489761	2.74694989879		0.8	0.807692307692
5&22		2.68652105331	2.43236085221	65.6737430096	91.6737430096	2.68450105331		0.9	0.814814814815
5&23		3.700289011	2.47769721065	69.3755218983	96.3755218983	3.698336011		1.0	0.821428571429
5&24		2.11330008507	2.4651858971	71.490391016	99.490391016	2.11028708507		1.0	0.827586206897
5&25		3.07283592224	2.48548870087	74.564661026	103.564661026	3.07178592224		1.0	0.833333333333
5&26		3.05549001694	2.50392119346	77.6215569973	107.621556997	3.05462401694		1.0	0.838709677419
5&27		2.75124692917	2.51169534028	80.3742508888	111.374250889	2.74793492917		1.0	0.84375
5&28		2.06904101372	2.49833575885	82.4450800419	114.445080042	2.06796101372		1.0	0.848484848485
5&29		3.12090206146	2.51670111628	85.5678379536	118.567837954	3.11942306146		1.0	0.852941176471
