"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_attacked_sp5K_bs2622B.csv -cnm --socket 1 300",,,,"Date:","16 Jul 2017 11:52:18 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.350,7.978,86.885,0.045,0.0,3.742,0.0,0.0,184840192.0,60436480.0,196395008.0,526536704.0,347.0,4.0,6.0,0.0,1.0
1.348,6.199,90.027,0.0,0.0,2.426,5157832.0,924.0,185974784.0,60436480.0,196399104.0,525398016.0,347.0,4.0,6.0,0.0,1.0
2.222,3.889,90.278,0.0,0.0,3.611,5038200.0,614.0,185536512.0,60440576.0,196399104.0,525832192.0,347.0,4.0,6.0,0.0,1.0
2.332,1.458,94.461,0.0,0.0,1.749,5029762.0,704.0,186224640.0,60440576.0,196399104.0,525144064.0,346.0,3.0,6.0,0.0,1.0
1.120,6.723,90.476,0.0,0.0,1.681,4712540.0,790.0,185192448.0,60440576.0,196399104.0,526176256.0,347.0,4.0,6.0,0.0,1.0
0.559,14.246,83.520,0.0,0.0,1.676,4952400.0,924.0,184438784.0,60440576.0,196399104.0,526929920.0,347.0,4.0,6.0,0.0,1.0
1.120,9.244,85.994,0.0,0.0,3.641,5009202.0,969.0,185159680.0,60440576.0,196399104.0,526209024.0,347.0,4.0,6.0,0.0,1.0
1.983,3.399,91.218,0.0,0.0,3.399,5053290.0,614.0,185061376.0,60440576.0,196399104.0,526307328.0,347.0,4.0,6.0,0.0,1.0
3.198,3.198,93.314,0.0,0.0,0.291,5180692.0,1101.0,184762368.0,60444672.0,196399104.0,526602240.0,346.0,3.0,6.0,0.0,1.0
1.700,5.949,92.351,0.0,0.0,0.0,5059846.0,778.0,184500224.0,60444672.0,196399104.0,526864384.0,347.0,4.0,6.0,0.0,1.0
1.366,5.738,89.617,0.0,0.0,3.279,4994404.0,1483.0,184827904.0,60444672.0,196399104.0,526536704.0,347.0,4.0,6.0,0.0,1.0
2.762,5.525,88.950,0.0,0.0,2.762,5072610.0,704.0,183468032.0,60444672.0,196399104.0,527896576.0,347.0,4.0,6.0,0.0,1.0
2.882,1.153,94.524,0.0,0.0,1.441,4460880.0,704.0,183844864.0,60444672.0,196399104.0,527519744.0,346.0,4.0,6.0,0.0,1.0
1.433,4.585,93.410,0.0,0.0,0.573,5065276.0,1014.0,183185408.0,60444672.0,196403200.0,528175104.0,347.0,5.0,6.0,0.0,1.0
2.180,7.084,89.373,0.0,0.0,1.362,5032868.0,1941.0,183578624.0,60444672.0,196403200.0,527781888.0,346.0,4.0,6.0,0.0,1.0
0.542,2.710,94.851,0.0,0.0,1.897,5075472.0,1194.0,184807424.0,60444672.0,196403200.0,526553088.0,347.0,4.0,6.0,0.0,1.0
0.528,2.375,92.348,0.0,0.0,4.749,5236818.0,1054.0,184807424.0,60444672.0,196403200.0,526553088.0,347.0,4.0,6.0,0.0,1.0
1.700,8.215,89.235,0.0,0.0,0.850,5134200.0,891.0,184840192.0,60444672.0,196403200.0,526520320.0,347.0,4.0,6.0,0.0,1.0
1.449,15.652,82.609,0.290,0.0,0.0,5307084.0,1496.0,185888768.0,60444672.0,196403200.0,525471744.0,346.0,3.0,6.0,0.0,1.0
0.845,11.549,83.380,0.0,0.0,4.225,5266808.0,1092.0,184741888.0,60444672.0,196403200.0,526618624.0,347.0,4.0,6.0,0.0,1.0
1.105,4.420,89.227,0.0,0.0,5.249,5274248.0,1594.0,184774656.0,60444672.0,196403200.0,526585856.0,347.0,4.0,6.0,0.0,1.0
2.882,1.729,93.084,0.0,0.0,2.305,4920524.0,884.0,186445824.0,60444672.0,196403200.0,524914688.0,347.0,4.0,6.0,0.0,1.0
2.466,3.014,93.425,0.0,0.0,1.096,5112210.0,704.0,185888768.0,60444672.0,196403200.0,525471744.0,346.0,3.0,6.0,0.0,1.0
1.644,8.767,88.493,0.0,0.0,1.096,5241360.0,712.0,184901632.0,60448768.0,196403200.0,526454784.0,347.0,4.0,6.0,0.0,1.0
1.276,5.357,82.653,0.0,0.0,10.714,5174944.0,1279.0,185294848.0,60448768.0,196403200.0,526061568.0,347.0,4.0,6.0,0.0,1.0
2.857,3.143,91.143,0.0,0.0,2.857,5182110.0,704.0,185131008.0,60448768.0,196403200.0,526225408.0,347.0,4.0,6.0,0.0,1.0
2.967,1.484,95.549,0.0,0.0,0.0,5158223.0,704.0,185221120.0,60448768.0,196403200.0,526135296.0,346.0,4.0,6.0,0.0,1.0
1.111,2.778,95.833,0.0,0.0,0.278,5247952.0,1002.0,185360384.0,60448768.0,196403200.0,525996032.0,347.0,4.0,6.0,0.0,1.0
1.939,4.432,88.643,0.0,0.0,4.986,5420812.0,614.0,185245696.0,60452864.0,196399104.0,526110720.0,347.0,4.0,6.0,0.0,1.0
2.204,2.479,92.287,0.0,0.0,3.030,5241690.0,704.0,186630144.0,60452864.0,196407296.0,524718080.0,346.0,4.0,6.0,0.0,1.0
2.011,9.195,87.644,0.0,0.0,1.149,5265060.0,892.0,186953728.0,60452864.0,196407296.0,524394496.0,347.0,5.0,6.0,0.0,1.0
1.231,11.077,87.692,0.0,0.0,0.0,5359586.0,1361.0,187899904.0,60452864.0,196411392.0,523444224.0,347.0,4.0,6.0,0.0,1.0
1.124,11.798,85.393,0.0,0.0,1.685,5322846.0,1460.0,186789888.0,60452864.0,196411392.0,524554240.0,346.0,3.0,6.0,0.0,1.0
1.676,3.352,89.944,0.0,0.0,5.028,5447662.0,1148.0,186888192.0,60452864.0,196411392.0,524455936.0,347.0,4.0,6.0,0.0,1.0
2.419,2.957,90.860,0.0,0.0,3.763,5466534.0,704.0,186650624.0,60452864.0,196411392.0,524693504.0,347.0,4.0,6.0,0.0,1.0
1.099,3.022,95.055,0.0,0.0,0.824,5271772.0,794.0,186593280.0,60452864.0,196411392.0,524750848.0,346.0,3.0,6.0,0.0,1.0
0.811,3.784,94.324,0.0,0.0,1.081,5303430.0,712.0,185839616.0,60452864.0,196411392.0,525504512.0,347.0,4.0,6.0,0.0,1.0
0.800,4.267,93.867,0.0,0.0,1.067,4923274.0,1279.0,186232832.0,60452864.0,196411392.0,525111296.0,347.0,4.0,6.0,0.0,1.0
2.432,4.324,91.892,0.0,0.0,1.351,5428470.0,614.0,185602048.0,60461056.0,196411392.0,525733888.0,347.0,4.0,6.0,0.0,1.0
1.934,2.486,92.818,0.0,0.0,2.762,5496592.0,818.0,186937344.0,60461056.0,196411392.0,524398592.0,346.0,3.0,6.0,0.0,1.0
1.939,2.216,95.291,0.0,0.0,0.554,5291070.0,712.0,187011072.0,60461056.0,196411392.0,524324864.0,347.0,4.0,6.0,0.0,1.0
0.783,7.572,90.601,0.0,0.0,1.044,5469994.0,1279.0,187305984.0,60461056.0,196411392.0,524029952.0,347.0,4.0,6.0,0.0,1.0
1.657,4.420,92.818,0.276,0.0,0.829,5455920.0,908.0,185962496.0,60461056.0,196411392.0,525373440.0,347.0,4.0,6.0,0.0,1.0
1.961,9.244,85.154,0.280,0.0,3.361,4817962.0,716.0,186150912.0,60461056.0,196411392.0,525185024.0,346.0,4.0,6.0,0.0,1.0
1.420,7.955,88.352,0.0,0.0,2.273,5412930.0,924.0,186290176.0,60461056.0,196411392.0,525045760.0,347.0,5.0,6.0,0.0,1.0
0.840,6.162,91.877,0.0,0.0,1.120,5537070.0,904.0,186351616.0,60461056.0,196411392.0,524984320.0,348.0,5.0,6.0,0.0,1.0
2.479,3.581,93.388,0.0,0.0,0.551,5224259.0,938.0,186974208.0,60461056.0,196411392.0,524361728.0,347.0,4.0,6.0,0.0,1.0
2.381,1.058,94.974,0.0,0.0,1.587,3143758.0,778.0,186314752.0,60461056.0,196411392.0,525021184.0,348.0,5.0,6.0,0.0,1.0
3.485,2.145,92.225,0.0,0.0,2.145,4383514.0,814.0,186847232.0,60461056.0,196411392.0,524488704.0,347.0,4.0,6.0,0.0,1.0
1.453,3.198,94.767,0.0,0.0,0.581,5219154.0,916.0,186875904.0,60461056.0,196415488.0,524455936.0,347.0,4.0,6.0,0.0,1.0
2.507,7.799,88.579,0.0,0.0,1.114,5209556.0,782.0,187400192.0,60461056.0,196415488.0,523931648.0,347.0,4.0,6.0,0.0,1.0
2.180,4.632,87.466,0.0,0.0,5.722,5293260.0,704.0,186482688.0,60461056.0,196415488.0,524849152.0,346.0,3.0,6.0,0.0,1.0
1.070,3.209,91.711,0.0,0.0,4.011,5301783.0,1116.0,185892864.0,60461056.0,196415488.0,525438976.0,347.0,4.0,6.0,0.0,1.0
2.053,3.812,93.548,0.0,0.0,0.587,5187684.0,614.0,184975360.0,60461056.0,196415488.0,526356480.0,347.0,4.0,6.0,0.0,1.0
2.778,6.944,89.167,0.0,0.0,1.111,5271264.0,704.0,185794560.0,60465152.0,196411392.0,525537280.0,346.0,4.0,6.0,0.0,1.0
1.719,6.590,91.404,0.0,0.0,0.287,4981002.0,1549.0,186138624.0,60465152.0,196411392.0,525193216.0,347.0,4.0,6.0,0.0,1.0
1.159,8.986,87.246,0.0,0.0,2.609,5328294.0,1676.0,187400192.0,60465152.0,196411392.0,523931648.0,346.0,3.0,6.0,0.0,1.0
0.281,9.551,87.640,0.0,0.0,2.528,5227628.0,1104.0,186671104.0,60465152.0,196419584.0,524652544.0,347.0,4.0,6.0,0.0,1.0
1.140,3.419,94.872,0.0,0.0,0.570,5171834.0,1875.0,186310656.0,60465152.0,196419584.0,525012992.0,346.0,4.0,6.0,0.0,1.0
1.072,6.434,91.153,0.268,0.0,1.072,5344234.0,802.0,186695680.0,60473344.0,196419584.0,524619776.0,347.0,4.0,6.0,0.0,1.0
1.657,4.420,90.331,0.0,0.0,3.591,4930740.0,1806.0,187383808.0,60473344.0,196419584.0,523931648.0,347.0,4.0,6.0,0.0,1.0
2.299,2.299,93.103,0.0,0.0,2.299,5099138.0,1178.0,186966016.0,60473344.0,196419584.0,524349440.0,346.0,3.0,6.0,0.0,1.0
1.449,4.058,93.913,0.0,0.0,0.580,5191272.0,1879.0,187187200.0,60473344.0,196419584.0,524128256.0,347.0,4.0,6.0,0.0,1.0
3.116,5.949,90.935,0.0,0.0,0.0,5128560.0,614.0,186105856.0,60473344.0,196419584.0,525209600.0,347.0,4.0,6.0,0.0,1.0
1.592,6.366,89.655,0.0,0.0,2.387,5090670.0,818.0,185634816.0,60481536.0,196419584.0,525672448.0,346.0,4.0,6.0,0.0,1.0
0.817,1.907,94.823,0.0,0.0,2.452,5168922.0,1194.0,186388480.0,60481536.0,196419584.0,524918784.0,347.0,4.0,6.0,0.0,1.0
1.081,1.622,93.514,0.0,0.0,3.784,5312431.0,614.0,186191872.0,60481536.0,196423680.0,525111296.0,347.0,4.0,6.0,0.0,1.0
2.849,2.279,93.162,0.0,0.0,1.709,5398492.0,704.0,185774080.0,60481536.0,196423680.0,525529088.0,346.0,3.0,6.0,0.0,1.0
2.695,9.704,85.445,0.0,0.0,2.156,5424428.0,1092.0,186011648.0,60481536.0,196423680.0,525291520.0,347.0,4.0,6.0,0.0,1.0
0.847,8.757,88.136,0.0,0.0,2.260,5199044.0,1185.0,186044416.0,60481536.0,196423680.0,525258752.0,347.0,4.0,6.0,0.0,1.0
0.820,10.109,85.792,0.0,0.0,3.279,5291610.0,614.0,185188352.0,60485632.0,196423680.0,526110720.0,347.0,4.0,6.0,0.0,1.0
0.855,1.709,96.011,0.0,0.0,1.425,4904014.0,818.0,185020416.0,60485632.0,196427776.0,526274560.0,346.0,3.0,6.0,0.0,1.0
1.877,4.558,93.029,0.0,0.0,0.536,4799738.0,1092.0,184938496.0,60485632.0,196427776.0,526356480.0,347.0,4.0,6.0,0.0,1.0
2.133,4.0,91.200,0.0,0.0,2.667,5084410.0,704.0,185470976.0,60485632.0,196427776.0,525824000.0,347.0,4.0,6.0,0.0,1.0
2.653,3.448,90.981,0.0,0.0,2.918,5349420.0,704.0,185266176.0,60485632.0,196427776.0,526028800.0,346.0,3.0,6.0,0.0,1.0
0.850,1.416,96.317,0.0,0.0,1.416,5340784.0,1279.0,184774656.0,60485632.0,196427776.0,526520320.0,347.0,4.0,6.0,0.0,1.0
2.228,0.557,95.265,0.0,0.0,1.950,5229632.0,1112.0,184225792.0,60485632.0,196427776.0,527069184.0,347.0,4.0,6.0,0.0,1.0
2.180,5.177,91.826,0.0,0.0,0.817,5340824.0,704.0,183955456.0,60485632.0,196427776.0,527339520.0,346.0,3.0,6.0,0.0,1.0
1.907,2.725,93.733,0.0,0.0,1.635,5118128.0,1092.0,184045568.0,60485632.0,196427776.0,527249408.0,347.0,4.0,6.0,0.0,1.0
