Times(S&L)	Runnig-Time	Average-Time	Total-Time	Total-ExeTime	Msg-trans-Time		LP	TLP
1&0		0.12820982933	0.128812789917	0.128812789917	0.128812789917	0.12449082933		0.0	0.0
2&0		0.148456811905	0.139327406883	0.278654813766	1.27865481377	0.145407811905		0.0	0.0
3&0		0.13197684288	0.137335936228	0.412007808685	2.41200780869	0.12735584288		0.0	0.0
4&0		0.141848802567	0.138819694519	0.555278778076	3.55527877808	0.136733802567		0.0	0.0
5&0		0.130411148071	0.137423992157	0.687119960785	4.68711996078	0.125046148071		0.0	0.0
6&0		0.133858919144	0.137068152428	0.822408914566	5.82240891457	0.128543919144		0.0	0.0
7&0		0.123083114624	0.135276283537	0.946933984756	6.94693398476	0.117891114624		0.0	0.0
8&0		0.139179944992	0.135952234268	1.08761787415	8.08761787415	0.133533944992		0.0	0.0
9&0		0.12800693512	0.135226541095	1.21703886986	9.21703886986	0.12287493512		0.0	0.0
10&0		0.124336004257	0.134282493591	1.34282493591	10.3428249359	0.120935004257		0.0	0.0
11&0		0.127115011215	0.133750893853	1.47125983238	11.4712598324	0.121915011215		0.0	0.0
12&0		0.125218868256	0.133156736692	1.5978808403	12.5978808403	0.121883868256		0.0	0.0
13&0		0.129135847092	0.132955752886	1.72842478752	13.7284247875	0.125344847092		0.0	0.0
14&0		0.129934072495	0.132834996496	1.85968995094	14.8596899509	0.124365072495		0.0	0.0
15&0		0.132169008255	0.13288526535	1.99327898026	15.9932789803	0.126676008255		0.0	0.0
16&0		0.136765003204	0.133216738701	2.13146781921	17.1314678192	0.133055003204		0.0	0.0
17&0		0.133975982666	0.133339755675	2.26677584648	18.2667758465	0.128810982666		0.0	0.0
18&0		0.124272108078	0.132914609379	2.39246296883	19.3924629688	0.121225108078		0.0	0.0
19&0		0.12383890152	0.132507462251	2.51764178276	20.5176417828	0.12049890152		0.0	0.0
20&0		0.125368118286	0.132215845585	2.6443169117	21.6443169117	0.120072118286		0.0	0.0
21&0		0.129595041275	0.132159516925	2.77534985542	22.7753498554	0.123778041275		0.0	0.0
22&0		0.126128911972	0.131951581348	2.90293478966	23.9029347897	0.122365911972		0.0	0.0
23&0		0.133943080902	0.132095171058	3.03818893433	25.0381889343	0.127897080902		0.0	0.0
24&0		0.126891851425	0.131968617439	3.16724681854	26.1672468185	0.121149851425		0.0	0.0
25&0		0.127778053284	0.131862792969	3.29656982422	27.2965698242	0.124535053284		0.0	0.0
26&0		0.128128051758	0.131769455396	3.4260058403	28.4260058403	0.122424051758		0.0	0.0
27&0		0.128403902054	0.131700215516	3.55590581894	29.5559058189	0.125098902054		0.0	0.0
28&0		0.135891914368	0.131896206311	3.6930937767	30.6930937767	0.132155914368		0.0	0.0
29&0		0.124135017395	0.131673788202	3.81853985786	31.8185398579	0.121011017395		0.0	0.0
30&0		0.128087043762	0.131597399712	3.94792199135	32.9479219913	0.123409043762		0.0	0.0
31&0		0.125252008438	0.13144393121	4.07476186752	34.0747618675	0.119833008438		0.0	0.0
32&0		0.126143932343	0.131324619055	4.20238780975	35.2023878098	0.121049932343		0.0	0.0
33&0		0.128194093704	0.131272424351	4.33199000359	36.3319900036	0.125373093704		0.0	0.0
34&0		0.130620956421	0.131291789167	4.46392083168	37.4639208317	0.125571956421		0.0	0.0
35&0		0.125664949417	0.131170654297	4.59097290039	38.5909729004	0.122496949417		0.0	0.0
36&0		0.122422933578	0.130963385105	4.71468186378	39.7146818638	0.119339933578		0.0	0.0
37&0		0.131222963333	0.131004997202	4.84718489647	40.8471848965	0.126366963333		0.0	0.0
38&0		0.129176139832	0.130994420303	4.9777879715	41.9777879715	0.124312139832		0.0	0.0
39&0		0.126831054688	0.130929867427	5.10626482964	43.1062648296	0.121738054687		0.0	0.0
40&0		0.12747502327	0.130879795551	5.23519182205	44.2351918221	0.12384402327		0.0	0.0
41&0		0.126565933228	0.130806876392	5.36308193207	45.3630819321	0.123435933228		0.0	0.0
42&0		0.133095026016	0.13089233353	5.49747800827	46.4974780083	0.130008026016		0.0	0.0
43&0		0.132114887238	0.130951182787	5.63090085983	47.6309008598	0.127102887238		0.0	0.0
44&0		0.130841016769	0.130980497057	5.7631418705	48.7631418705	0.125769016769		0.0	0.0
45&0		0.130733013153	0.131007311079	5.89532899857	49.8953289986	0.125650013153		0.0	0.0
46&0		0.146636962891	0.131377214971	6.04335188866	51.0433518887	0.141395962891		0.0	0.0
47&0		0.125960826874	0.131298399986	6.17102479935	52.1710247993	0.122655826874		0.0	0.0
48&0		0.126314878464	0.131221766273	6.29864478111	53.2986447811	0.120815878464		0.0	0.0
49&0		0.126856088638	0.131161733549	6.42692494392	54.4269249439	0.123723088638		0.0	0.0
50&0		0.126352071762	0.131091537476	6.55457687378	55.5545768738	0.123408071762		0.0	0.0
51&0		0.121154069901	0.130922055712	6.67702484131	56.6770248413	0.117668069901		0.0	0.0
52&0		0.138018846512	0.13108501526	6.81642079353	57.8164207935	0.132989846512		0.0	0.0
53&0		0.133412122726	0.131156300599	6.95128393173	58.9512839317	0.128357122726		0.0	0.0
54&0		0.13337802887	0.131224089199	7.08610081673	60.0861008167	0.12765702887		0.0	0.0
55&0		0.129897117615	0.131226145137	7.21743798256	61.2174379826	0.124733117615		0.0	0.0
