"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_.csv -cnm --socket 1 400",,,,"Date:","15 Jul 2017 11:42:04 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.736,2.807,94.655,0.060,0.0,0.742,0.0,0.0,145772544.0,52985856.0,355524608.0,413925376.0,343.0,4.0,6.0,0.0,0.0
2.356,6.021,91.361,0.262,0.0,0.0,156.0,66.0,146276352.0,52989952.0,355528704.0,413413376.0,343.0,4.0,6.0,0.0,0.0
0.521,6.771,92.708,0.0,0.0,0.0,0.0,66.0,146264064.0,52989952.0,355528704.0,413425664.0,343.0,4.0,6.0,0.0,0.0
0.779,4.416,94.805,0.0,0.0,0.0,0.0,0.0,146255872.0,52989952.0,355528704.0,413433856.0,343.0,4.0,6.0,0.0,0.0
1.018,0.509,98.473,0.0,0.0,0.0,0.0,66.0,146255872.0,52989952.0,355528704.0,413433856.0,344.0,4.0,6.0,0.0,0.0
2.067,0.0,97.933,0.0,0.0,0.0,0.0,66.0,146255872.0,52989952.0,355528704.0,413433856.0,344.0,4.0,6.0,0.0,0.0
1.269,1.015,97.716,0.0,0.0,0.0,143.0,66.0,146382848.0,52994048.0,355524608.0,413306880.0,344.0,4.0,6.0,0.0,0.0


"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_.csv -cnm --socket 1 400",,,,"Date:","15 Jul 2017 11:42:33 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.738,2.807,94.655,0.060,0.0,0.741,0.0,0.0,143806464.0,53010432.0,355500032.0,415891456.0,343.0,3.0,6.0,0.0,0.0
0.763,0.0,99.237,0.0,0.0,0.0,0.0,0.0,144228352.0,53010432.0,355500032.0,415469568.0,343.0,3.0,6.0,0.0,0.0
1.276,0.0,98.724,0.0,0.0,0.0,156.0,0.0,143945728.0,53014528.0,355495936.0,415752192.0,343.0,3.0,6.0,0.0,0.0
2.067,0.258,97.674,0.0,0.0,0.0,78.0,0.0,143822848.0,53014528.0,355500032.0,415870976.0,343.0,3.0,6.0,0.0,0.0


"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_communication_.csv -cnm --socket 1 400",,,,"Date:","15 Jul 2017 11:57:39 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
