"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","raspberrypi",,,,"User:","pi"
"Cmdline:","dstat --output /home/pi/Desktop/dstat_noCommunication_noAttack_11n.csv -cnm --socket 1 400",,,,"Date:","15 Jul 2017 10:23:21 UTC"

"total cpu usage",,,,,,"net/total",,"memory usage",,,,"sockets",,,,
"usr","sys","idl","wai","hiq","siq","recv","send","used","buff","cach","free","tot","tcp","udp","raw","frg"
1.852,2.850,94.501,0.068,0.0,0.729,0.0,0.0,135344128.0,48472064.0,354897920.0,429494272.0,340.0,3.0,6.0,0.0,0.0
0.758,0.0,99.242,0.0,0.0,0.0,0.0,0.0,135409664.0,48472064.0,354902016.0,429424640.0,340.0,3.0,6.0,0.0,0.0
2.519,0.0,97.481,0.0,0.0,0.0,0.0,0.0,135385088.0,48472064.0,354902016.0,429449216.0,340.0,3.0,6.0,0.0,0.0
0.765,0.255,98.980,0.0,0.0,0.0,0.0,0.0,135335936.0,48472064.0,354902016.0,429498368.0,340.0,3.0,6.0,0.0,0.0
1.015,0.0,98.985,0.0,0.0,0.0,0.0,0.0,135401472.0,48472064.0,354902016.0,429432832.0,340.0,3.0,6.0,0.0,0.0
1.039,4.416,94.545,0.0,0.0,0.0,0.0,0.0,135401472.0,48472064.0,354902016.0,429432832.0,340.0,3.0,6.0,0.0,0.0
1.562,6.250,91.927,0.260,0.0,0.0,0.0,0.0,135421952.0,48476160.0,354902016.0,429408256.0,341.0,3.0,6.0,0.0,0.0
1.295,6.218,92.487,0.0,0.0,0.0,0.0,0.0,135421952.0,48476160.0,354902016.0,429408256.0,341.0,3.0,6.0,0.0,0.0
3.275,1.259,95.466,0.0,0.0,0.0,143.0,0.0,135520256.0,48476160.0,354902016.0,429309952.0,341.0,3.0,6.0,0.0,0.0
3.544,1.519,94.937,0.0,0.0,0.0,0.0,0.0,135520256.0,48476160.0,354902016.0,429309952.0,340.0,3.0,6.0,0.0,0.0
5.237,0.748,94.015,0.0,0.0,0.0,0.0,0.0,130695168.0,48476160.0,354906112.0,434130944.0,340.0,3.0,6.0,0.0,0.0
2.778,1.010,95.960,0.0,0.0,0.253,0.0,0.0,131153920.0,48476160.0,354906112.0,433672192.0,340.0,3.0,6.0,0.0,0.0
7.653,2.041,90.051,0.255,0.0,0.0,0.0,0.0,130875392.0,48480256.0,354902016.0,433950720.0,340.0,3.0,6.0,0.0,0.0
5.584,1.269,93.147,0.0,0.0,0.0,0.0,0.0,136179712.0,48480256.0,354902016.0,428646400.0,340.0,3.0,6.0,0.0,0.0
5.038,0.756,94.207,0.0,0.0,0.0,0.0,0.0,136032256.0,48480256.0,354906112.0,428789760.0,340.0,3.0,6.0,0.0,0.0
5.570,1.013,93.418,0.0,0.0,0.0,0.0,0.0,136413184.0,48480256.0,354906112.0,428408832.0,340.0,3.0,6.0,0.0,0.0
3.008,1.253,95.489,0.0,0.0,0.251,0.0,0.0,136355840.0,48480256.0,354906112.0,428466176.0,340.0,3.0,6.0,0.0,0.0
4.557,0.759,94.684,0.0,0.0,0.0,0.0,0.0,137039872.0,48480256.0,354906112.0,427782144.0,340.0,3.0,6.0,0.0,0.0
3.109,7.513,89.378,0.0,0.0,0.0,0.0,0.0,136781824.0,48484352.0,354906112.0,428036096.0,340.0,3.0,6.0,0.0,0.0
